title,journal,year
Composition and superposition operators on weighted Banach spaces of holomorphic functions of type Haz,,2008.0
On the mathematical work of Jean Schmets,Bulletin of the Belgian Mathematical Society Simon Stevin,2007.0
Contemporary Mathematics Volume 427 2007,Conferencia,2007.0
Responsabilidad social del matematico,La Gaceta de la Real Sociedad Matematica Espanola,2007.0
Spaces of ultradifferentiable functions and applications II,Universitat Politecnica de Valencia,2007.0
Integracio multiple I Vectorial,Universitat Politecnica de Valencia,2006.0
Weakly compact wedge operators on Kothe echelon spaces,Annales Fennici Mathematici,2004.0
Weighted L [indefinite]-estimates for Bergman Projections,Department of Mathematics and Statistics University of Helsinki,2004.0
Topologies of the duals of spaces of holomorphic functions on locally closed convex sets,Doklady Mathematics,2003.0
In functional analysis,,2001.0
Recent Progress in Functional Analysis: Mathematics Studies Volume 189,Elsevier,2001.0
Inductive duals of distinguished frechet spaces,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1996.0
Vector-valued holomorphic germs on,Royal Irish Academy,1994.0
Progress in functional analysis proceedings of the International Functional Analysis Meeting on the occasion of the 60th birthday of professor M. Valdivia Peniscola Spain ...,,1992.0
Tensor stable Frechet and (DF)-spaces,Collectanea Mathematica,1991.0
Erratum to Dual Density Conditions in (DF)-spaces I,Results in Mathematics,1989.0
Every quojection is the quotient of a countable product of Banach spaces,Conferencia,1989.0
El problema de las topologias de Grothendieck y la clase de los T-espacios de Frechet,Conferencia,1989.0
Frechet spaces of Moscatelly type,Revista matematica de la Universidad Complutense de Madrid,1989.0
A Note on Strict LF-Spaces,Advances in the Theory of Frechet Spaces,1989.0
On LB- Frechet and LF-spaces of Moscatelli type,Conferencia,1988.0
Barrelled Locally Convex Spaces. North-Holland Mathematics Studies Volume 131,Elsevier,1987.0
Sobre el espacio D+ p (I E).,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1986.0
Projective tensor products of distinguished,Royal Irish Academy,1985.0
Representations of the spaces  and ,Collectanea Mathematica,1982.0
